DATETIME,DATETIME,SHT40,SHT40,BMP380,VEML6030
2021-09-21,01:00:00,26.36,64.53,1010.63,147.46
2021-09-21,01:30:00,26.07,66.1,1010.23,147.46
2021-09-21,02:00:00,25.67,66.76,1009.9,147.46
2021-09-21,02:30:00,25.38,67.92,1009.53,147.46
2021-09-21,03:00:00,25.26,66.88,1009.45,147.46
2021-09-21,03:30:00,25.08,67.5,1009.24,162.2
2021-09-21,04:00:00,25.02,67.94,1009.14,147.46
2021-09-21,04:30:00,24.75,69.19,1009.04,162.2
2021-09-21,05:00:00,25.0,68.32,1009.21,147.46
2021-09-21,05:30:00,25.52,67.11,1009.56,147.46
2021-09-21,06:00:00,25.13,67.57,1009.57,3758
2021-09-21,06:30:00,25.13,68.23,1009.25,3317
2021-09-21,07:00:00,26.99,63.46,1009.06,430.5
2021-09-21,07:30:00,27.87,60.26,1009.26,4507
2021-09-21,08:00:00,28.01,60.26,1009.47,165.37
2021-09-21,08:30:00,27.15,63.41,1009.54,1318
2021-09-21,09:00:00,29.41,57.61,1009.48,3210
2021-09-21,09:30:00,29.75,56.87,1008.96,300.9
2021-09-21,10:00:00,28.66,60.38,1008.58,2275
2021-09-21,10:30:00,29.31,59.28,1008.74,1543
2021-09-21,11:00:00,30.66,55.44,1008.63,4469
2021-09-21,11:30:00,31.14,55.56,1008.44,1548
2021-09-21,12:00:00,32.32,50.5,1008.18,1600
2021-09-21,12:30:00,33.87,47.17,1007.82,94.35
2021-09-21,13:00:00,32.48,49.56,1007.23,135.76
2021-09-21,13:30:00,32.52,48.23,1006.92,3494
2021-09-21,14:00:00,32.39,47.73,1006.24,2240
2021-09-21,14:30:00,32.57,47.76,1005.57,3821
2021-09-21,15:00:00,32.33,50.4,1005.22,4151
2021-09-21,15:30:00,31.87,50.02,1005.17,1182
2021-09-21,16:00:00,31.87,50.66,1004.87,4545
2021-09-21,16:30:00,31.23,52.14,1005.44,223.08
2021-09-21,17:00:00,31.19,53.48,1005.5,2038
2021-09-21,17:30:00,30.74,53.36,1005.74,1770
2021-09-21,18:00:00,30.49,56.41,1005.35,1146
2021-09-21,18:30:00,30.15,55.38,1005.64,589.82
2021-09-21,19:00:00,30.05,53.71,1005.72,383.39
2021-09-21,19:30:00,29.97,52.83,1005.9,368.64
2021-09-21,20:00:00,29.59,54.63,1006.29,398.13
2021-09-21,20:30:00,29.88,54.05,1006.74,398.13
2021-09-21,21:00:00,29.27,64.55,1006.47,148.61
2021-09-21,21:30:00,29.66,63.6,1007.0,147.46
2021-09-21,22:00:00,28.5,67.11,1007.05,147.46
2021-09-21,22:30:00,27.95,67.2,1007.34,147.46
2021-09-21,23:00:00,27.8,62.74,1007.44,147.46
2021-09-21,23:30:00,27.95,60.41,1007.32,147.46
2021-09-22,00:00:00,27.74,60.83,1007.38,147.46
2021-09-22,00:30:00,27.96,61.07,1007.39,147.46
2021-09-22,01:00:00,28.03,63.86,1007.34,147.46
2021-09-22,01:30:00,27.74,64.83,1007.66,162.2
2021-09-22,02:00:00,27.6,71.4,1007.54,162.2
2021-09-22,02:30:00,27.1,77.98,1007.49,147.46
2021-09-22,03:00:00,26.77,79.53,1007.43,147.46
2021-09-22,03:30:00,26.2,76.89,1008.03,162.2
2021-09-22,04:00:00,24.87,81.34,1007.98,162.2
2021-09-22,04:30:00,25.32,80.39,1008.03,147.46
2021-09-22,05:00:00,26.08,79.1,1008.21,147.46
2021-09-22,05:30:00,25.36,80.83,1008.37,162.2
2021-09-22,06:00:00,25.48,80.68,1008.58,1523
2021-09-22,06:30:00,25.59,80.51,1008.84,2345
2021-09-22,07:00:00,27.49,76.52,1009.01,1215
2021-09-22,07:30:00,29.59,67.2,1009.33,1598
2021-09-22,08:00:00,30.59,61.12,1009.38,771.96
2021-09-22,08:30:00,31.38,58.55,1009.34,2833
2021-09-22,09:00:00,32.03,54.95,1009.51,698.92
2021-09-22,09:30:00,32.34,53.56,1009.92,3956
2021-09-22,10:00:00,32.86,53.31,1010.24,419.79
2021-09-22,10:30:00,33.44,48.43,1010.07,4274
2021-09-22,11:00:00,34.76,44.11,1010.03,2152
2021-09-22,11:30:00,34.1,44.67,1009.83,552.15
2021-09-22,12:00:00,33.75,41.17,1009.6,1152
2021-09-22,12:30:00,34.15,37.57,1009.31,198.09
2021-09-22,13:00:00,34.99,39.41,1009.25,1406
2021-09-22,13:30:00,34.26,41.73,1008.98,741.14
2021-09-22,14:00:00,33.5,47.35,1008.87,1336
2021-09-22,14:30:00,33.58,45.36,1008.99,4092
2021-09-22,15:00:00,32.69,45.19,1009.23,828.23
2021-09-22,15:30:00,32.36,45.56,1009.2,1984
2021-09-22,16:00:00,31.84,48.73,1009.48,120.21
2021-09-22,16:30:00,31.14,50.32,1009.43,2884
2021-09-22,17:00:00,31.07,50.61,1009.37,945.56
2021-09-22,17:30:00,30.71,52.13,1009.58,1266
2021-09-22,18:00:00,29.68,55.15,1009.73,3014
2021-09-22,18:30:00,29.04,58.31,1009.95,766.77
2021-09-22,19:00:00,28.75,59.75,1010.27,412.88
2021-09-22,19:30:00,28.11,60.76,1010.48,398.13
2021-09-22,20:00:00,27.96,56.48,1010.87,442.37
2021-09-22,20:30:00,27.99,56.79,1011.19,442.37
2021-09-22,21:00:00,27.69,58.29,1011.58,442.37
2021-09-22,21:30:00,27.41,58.48,1011.78,442.37
2021-09-22,22:00:00,26.57,60.46,1011.83,442.37
2021-09-22,22:30:00,26.82,60.2,1012.04,486.6
2021-09-22,23:00:00,26.45,61.71,1012.14,191.69
bye.
