あしをおろしたい,足をおろしたい,状態説明
てをおろしたい,手をおろしたい,状態説明
たいせいをかえたい,体制を変えたい,状態説明
よこむきになりたい,横向きになりたい,状態説明
おきあがりたい,起きあがりたい,状態説明
たちあがりたい,立ち上がりたい,状態説明
ひつだんしたい,筆談したい,状態説明
ひっきようぐがほしい,筆記用具がほしい,要求
なにかかくものがほしい,何か書く物がほしい,要求
めがねがほしい,メガネがほしい,要求
めがねはどこですか,メガネはどこですか,質問
わたしのばっぐはどこですか,私のバッグはどこですか,質問
わたしのかばんはどこですか,私の鞄はどこですか,質問
わたしのとらんくはどこですか,私のトランクはどこですか,質問
わたしのさいふはどこですか,私の財布はどこですか,質問
きちょうひんがしんぱいだ,貴重品が心配だ,感情説明
わたしのけいたいでんわはどこですか,私の携帯電話はどこですか,質問
わたしのすまーとふぉんはどこですか,私のスマートフォンはどこですか,質問
わたしのぱそこんはどこですか,私のパソコンはどこですか,質問
けいたいでんわがほしい,携帯電話がほしい,要求
すまーとふぉんがほしい,スマートフォンがほしい,要求
ぱそこんがほしい,パソコンがほしい,要求
といれにいきたい,トイレに行きたい,要求
てをあらいたい,手を洗いたい,要求
かおをあらいたい,顔を洗いたい,要求
しゃわーをあびたい,シャワーを浴びたい,要求
ふろにはいりたい,風呂に入りたい,要求
このへやからでたい,この部屋から出たい,要求
ばいてんにいきたい,売店に行きたい,要求
きつえんじょにいきたい,喫煙所に行きたい,要求
びょういんからでたい,病院から出たい,要求
いえにかえりたい,家に帰りたい,要求
ここはどこですか,ここはどこですか,質問
ここはなんというびょういんですか,ここはなんという病院ですか,質問
あなたはだれですか,あなたは誰ですか,質問
いまなんじですか,今何時ですか,質問
きょうはなんがつなんにちですか,今日は何月何日ですか,質問
わたしはいつからここにいるのですか,私はいつからここにいるのですか,質問
なにがおこったのですか,なにが起こったのですか,質問
わたしのからだはどうなっているのですか,私の身体はどうなっているのですか,質問
わたしのかおはどうなっているのですか,私の顔はどうなっているのですか,質問
わたしのははどうなっているのですか,私の母どうなっているのですか,質問
わたしのあしはありますか,私の足はありますか,質問
わたしのてはありますか,私の手はありますか,質問
わたしのゆびはありますか,私の指はありますか,質問
わたしのかみのけはどうなっていますか,私の髪の毛はどうなっていますか,質問
かぞくはぶじですか,家族は無事ですか,質問
こどもはぶじですか,子供は無事ですか,質問
おっとはぶじですか,夫は無事ですか,質問
ちちはぶじですか,父は無事ですか,質問
はははぶじですか,母は無事ですか,質問
あにはぶじですか,兄は無事ですか,質問
おとうとはぶじですか,弟は無事ですか,質問
あねはぶじですか,姉は無事ですか,質問
いもうとはぶじですか,妹は無事ですか,質問
そふはぶじですか,祖父は無事ですか,質問
そぼはぶじですか,祖母は無事ですか,質問
まごはぶじですか,孫は無事ですか,質問
おじはぶじですか,叔父は無事ですか,質問
おばはぶじですか,叔母は無事ですか,質問
ゆうじんはぶじですか,友人は無事ですか,質問
かいしゃのひとはぶじですか,会社の人は無事ですか,質問
かぞくをよんでください,家族を呼んでください,要求
こどもをよんでください,子供を呼んでください,要求
おっとをよんでください,夫を呼んでください,要求
ちちをよんでください,父を呼んでください,要求
ははをよんでください,母を呼んでください,要求
あにをよんでください,兄を呼んでください,要求
おとうとをよんでください,弟を呼んでください,要求
あねをよんでください,姉を呼んでください,要求
いもうとをよんでください,妹を呼んでください,要求
そふをよんでください,祖父を呼んでください,要求
そぼをよんでください,祖母を呼んでください,要求
まごをよんでください,孫を呼んでください,要求
おじをよんでください,叔父を読んでください,要求
おばをよんでくださいんで,叔母を呼んでください,要求
ゆうじんをよんでください,友人を呼んでください,要求
かいしゃのひとをよんでください,会社の人を呼んでください,要求
かんごしをよんでください,看護師を呼んでください,要求
いしをよんでください,医師を呼んでください,要求
せんせいをよんでください,先生を呼んでください,要求
へやにひとをいれないでください,部屋に人を入れないでください,要求
あいたくないひとがいる,会いたくない人がいる,状況説明
ひとりになりたいです,一人になりたいです,状況説明
めんかいしゃぜつにしてください,面会謝絶にしてください,要求
たんとうのせんせいはだれですか,担当の先生は誰ですか,質問
びょうきのせつめいがききたい,病気の説明が聞きたい,状況説明
いつたいいんできますか,いつ退院できますか,質問
あるけるようになりますか,歩けるようになりますか,質問
はしれるようになりますか,走れるようになりますか,質問
はなせるようになりますか,話せるようになりますか,質問
めがみえるようになりますか,目が見えるようになりますか,質問
みみがきこえるようになりますか,耳が聞こえるようになりますか,質問
てがつかえるようになりますか,手が使えるようになりますか,質問
いつからしごとできるようになれますか,いつから仕事できるようになりますか,質問
いつからがっこうにいけますか,いつから学校に行けますか,質問
またべんきょうできますか,また勉強できますか,質問
またりょうりできますか,また料理できますか,質問
またうんどうできますか,また運動できますか,質問
またやきゅうができますか,また野球ができますか,質問
またさっかーができますか,またサッカーができますか,質問
またらぐびーができますか,またラグビーができますか,質問
またすけーとができますか,またスケートができますか,質問
